"id","fdc_id","seq_num","food_attribute_type_id","name","value"
"5578","323121","0","1000","","hot dog, frank, wiener"
"5579","327046","0","1000","","Chinese gooseberry"
"5580","333476","0","1000","","Pollock"
"5581","334247","0","1000","","sucrose"
"5582","334849","0","1000","","URMIS # 2219, Kansas City Strip, Boneless Strip Steak, Club Steak, New York Strip"
"5583","334897","0","1000","","Tenderloin Roast, URMIS # 1386"
"5584","334898","0","1000","","Eye of Round Roast, URMIS # 1480"
"5585","334963","0","1000","","Top Round Roast, URMIS # 1551"
"5586","335061","0","1000","","T-Bone Steak, URMIS # 2184"
"5587","335109","0","1000","","Porterhouse Steak, URMIS # 1330"
"290889","746758","","1000","","Tenderloin Roast, URMIS # 1386"
"290890","746759","","1000","","URMIS # 2219, Kansas City Strip, Boneless Strip Steak, Club Steak, New York Strip"
"290891","746760","","1000","","Eye of Round Roast, URMIS # 1480"
"290892","746761","","1000","","Top Round Roast, URMIS # 1551"
"290893","746762","","1000","","Porterhouse Steak, URMIS # 1330"
"290894","746763","","1000","","T-Bone Steak, URMIS # 2184"
"290895","746784","","1000","","sucrose"
"290896","747693","","1000","","Catsup"
"290897","748278","","1000","","low erucic acid rapeseed oil"
"5588","335241","0","999","DOI","10.2135/cropsci2017.04.0244"
"5589","335241","0","999","Genotype","Montcalm"
"5590","335241","0","999","Barcode","11G5070076"
"5591","335242","0","999","DOI","10.2135/cropsci2017.04.0244"
"5592","335242","0","999","Genotype","Montcalm"
"5593","335242","0","999","Barcode","11G5070132"
"5594","335243","0","999","DOI","10.2135/cropsci2017.04.0244"
"5595","335243","0","999","Genotype","Red_Hawk"
"5596","335243","0","999","Barcode","11G5070041"
"5597","335244","0","999","DOI","10.2135/cropsci2017.04.0244"
"5598","335244","0","999","Genotype","Red_Hawk"
"5599","335244","0","999","Barcode","11G5070134"
"5600","335246","0","999","DOI","10.2135/cropsci2017.04.0244"
"5601","335246","0","999","Genotype","Sedona"
"5602","335246","0","999","Barcode","11G5070084"
"5603","335247","0","999","DOI","10.2135/cropsci2017.04.0244"
"5604","335247","0","999","Genotype","Sedona"
"5605","335247","0","999","Barcode","11G5070192"
"5606","335248","0","999","DOI","10.2135/cropsci2017.04.0244"
"5607","335248","0","999","Genotype","Pink_Floyd"
"5608","335248","0","999","Barcode","11G5070035"
"5609","335249","0","999","DOI","10.2135/cropsci2017.04.0244"
"5610","335249","0","999","Genotype","Pink_Floyd"
"5611","335249","0","999","Barcode","11G5070190"
"5612","335250","0","999","DOI","10.2135/cropsci2017.04.0244"
"5613","335250","0","999","Genotype","ROG_312"
"5614","335251","0","999","DOI","10.2135/cropsci2017.04.0244"
"5615","335251","0","999","Genotype","ROG_312"
"5616","335251","0","999","Barcode","11G5070199"
"5617","335252","0","999","DOI","10.2135/cropsci2017.04.0244"
"5618","335252","0","999","Genotype","UI_537"
"5619","335252","0","999","Barcode","11G5070086"
"5620","335253","0","999","DOI","10.2135/cropsci2017.04.0244"
"5621","335253","0","999","Genotype","UI_537"
"5622","335253","0","999","Barcode","11G5070195"
"5623","335254","0","999","DOI","10.2135/cropsci2017.04.0244"
"5624","335254","0","999","Genotype","Victor"
"5625","335254","0","999","Barcode","11G5070059"
"5626","335255","0","999","DOI","10.2135/cropsci2017.04.0244"
"5627","335255","0","999","Genotype","Victor"
"5628","335255","0","999","Barcode","11G5070151"
"5629","335256","0","999","DOI","10.2135/cropsci2017.04.0244"
"5630","335256","0","999","Genotype","Viva"
"5631","335256","0","999","Barcode","11G5070060"
"5632","335257","0","999","DOI","10.2135/cropsci2017.04.0244"
